Date,Open,High,Low,Close,Volume
2022-12-13,1455.0,1455.0,1455.0,1455.0,0
2022-12-14,1455.0,1455.0,1455.0,1455.0,0
2022-12-15,1455.0,1455.0,1455.0,1455.0,0
2022-12-16,1455.0,1455.0,1455.0,1455.0,0
2022-12-19,1455.0,1455.0,1455.0,1455.0,0
2022-12-20,1455.0,1455.0,1455.0,1455.0,0
2022-12-21,1455.0,1455.0,1455.0,1455.0,0
2022-12-22,1455.0,1455.0,1455.0,1455.0,0
2022-12-23,1455.0,1455.0,1455.0,1455.0,0
2022-12-26,1455.0,1455.0,1455.0,1455.0,0
2022-12-27,1455.0,1455.0,1455.0,1455.0,0
2022-12-28,1455.0,1455.0,1455.0,1455.0,0
2022-12-29,1455.0,1455.0,1455.0,1455.0,0
2022-12-30,1455.0,1455.0,1455.0,1455.0,0
2023-01-02,1455.0,1455.0,1455.0,1455.0,0
2023-01-03,1455.0,1455.0,1455.0,1455.0,0
2023-01-04,1455.0,1455.0,1455.0,1455.0,0
2023-01-05,1455.0,1455.0,1455.0,1455.0,0
2023-01-06,1455.0,1455.0,1455.0,1455.0,0
2023-01-09,1455.0,1455.0,1455.0,1455.0,0
2023-01-10,1455.0,1455.0,1455.0,1455.0,0
2023-01-11,1455.0,1455.0,1455.0,1455.0,0
2023-01-12,1455.0,1455.0,1455.0,1455.0,0
2023-01-13,1455.0,1455.0,1455.0,1455.0,0
2023-01-16,1455.0,1455.0,1455.0,1455.0,0
2023-01-17,1455.0,1455.0,1455.0,1455.0,0
2023-01-18,1455.0,1455.0,1455.0,1455.0,0
2023-01-19,1455.0,1455.0,1455.0,1455.0,0
2023-01-20,1455.0,1455.0,1455.0,1455.0,0
2023-01-24,1455.0,1455.0,1455.0,1455.0,0
2023-01-25,1455.0,1455.0,1455.0,1455.0,0
2023-01-26,1455.0,1455.0,1455.0,1455.0,0
2023-01-27,1455.0,1455.0,1455.0,1455.0,0
2023-01-30,1455.0,1455.0,1455.0,1455.0,0
2023-01-31,1455.0,1455.0,1455.0,1455.0,0
2023-02-01,1455.0,1455.0,1455.0,1455.0,0
2023-02-02,1455.0,1455.0,1455.0,1455.0,0
2023-02-03,1455.0,1455.0,1455.0,1455.0,0
2023-02-06,1455.0,1455.0,1455.0,1455.0,0
2023-02-07,1455.0,1455.0,1455.0,1455.0,0
2023-02-08,1455.0,1455.0,1455.0,1455.0,0
2023-02-09,1455.0,1455.0,1455.0,1455.0,0
2023-02-10,1455.0,1455.0,1455.0,1455.0,0
2023-02-13,1455.0,1455.0,1455.0,1455.0,0
2023-02-14,1455.0,1455.0,1455.0,1455.0,0
2023-02-15,1455.0,1455.0,1455.0,1455.0,0
2023-02-16,1455.0,1455.0,1455.0,1455.0,0
2023-02-17,1455.0,1455.0,1455.0,1455.0,0
2023-02-20,1455.0,1455.0,1455.0,1455.0,0
2023-02-21,1455.0,1455.0,1455.0,1455.0,0
2023-02-22,1455.0,1455.0,1455.0,1455.0,0
2023-02-23,1455.0,1455.0,1455.0,1455.0,0
2023-02-24,1455.0,1455.0,1455.0,1455.0,0
2023-02-27,1455.0,1455.0,1455.0,1455.0,0
2023-02-28,1455.0,1455.0,1455.0,1455.0,0
2023-03-01,1455.0,1455.0,1455.0,1455.0,0
2023-03-02,1455.0,1455.0,1455.0,1455.0,0
2023-03-03,1455.0,1455.0,1455.0,1455.0,0
2023-03-06,1455.0,1455.0,1455.0,1455.0,0
2023-03-07,1455.0,1455.0,1455.0,1455.0,0
2023-03-08,1455.0,1455.0,1455.0,1455.0,0
2023-03-09,1455.0,1455.0,1455.0,1455.0,0
2023-03-10,1455.0,1455.0,1455.0,1455.0,0
2023-03-13,1455.0,1455.0,1455.0,1455.0,0
2023-03-14,1455.0,1455.0,1455.0,1455.0,0
2023-03-15,1455.0,1455.0,1455.0,1455.0,0
2023-03-16,1455.0,1455.0,1455.0,1455.0,0
2023-03-17,1455.0,1455.0,1455.0,1455.0,0
2023-03-20,1455.0,1455.0,1455.0,1455.0,0
2023-03-21,1455.0,1455.0,1455.0,1455.0,0
2023-03-24,1455.0,1455.0,1455.0,1455.0,0
2023-03-27,1455.0,1455.0,1455.0,1455.0,0
2023-03-28,1455.0,1455.0,1455.0,1455.0,0
2023-03-29,1455.0,1455.0,1455.0,1455.0,0
2023-03-30,1455.0,1455.0,1455.0,1455.0,0
2023-03-31,1455.0,1455.0,1455.0,1455.0,0
2023-04-03,1455.0,1455.0,1455.0,1455.0,0
2023-04-04,1455.0,1455.0,1455.0,1455.0,0
2023-04-05,1455.0,1455.0,1455.0,1455.0,0
2023-04-06,1455.0,1455.0,1455.0,1455.0,0
2023-04-10,1455.0,1455.0,1455.0,1455.0,0
2023-04-11,1455.0,1455.0,1455.0,1455.0,0
2023-04-12,1455.0,1455.0,1455.0,1455.0,0
2023-04-13,1455.0,1455.0,1455.0,1455.0,0
2023-04-14,1455.0,1455.0,1455.0,1455.0,0
2023-04-17,1455.0,1455.0,1455.0,1455.0,0
2023-04-18,1455.0,1455.0,1455.0,1455.0,0
2023-04-26,1455.0,1455.0,1455.0,1455.0,0
2023-04-27,1455.0,1455.0,1455.0,1455.0,0
2023-04-28,1455.0,1455.0,1455.0,1455.0,0
2023-05-02,1455.0,1455.0,1455.0,1455.0,0
2023-05-03,1455.0,1455.0,1455.0,1455.0,0
2023-05-04,1455.0,1455.0,1455.0,1455.0,0
2023-05-05,1455.0,1455.0,1455.0,1455.0,0
2023-05-08,1455.0,1455.0,1455.0,1455.0,0
2023-05-09,1455.0,1455.0,1455.0,1455.0,0
2023-05-10,1455.0,1455.0,1455.0,1455.0,0
2023-05-11,1455.0,1455.0,1455.0,1455.0,0
2023-05-12,1455.0,1455.0,1455.0,1455.0,0
2023-05-15,1455.0,1455.0,1455.0,1455.0,0
2023-05-16,1455.0,1455.0,1455.0,1455.0,0
2023-05-17,1455.0,1455.0,1455.0,1455.0,0
2023-05-19,1455.0,1455.0,1455.0,1455.0,0
2023-05-22,1455.0,1455.0,1455.0,1455.0,0
2023-05-23,1455.0,1455.0,1455.0,1455.0,0
2023-05-24,1455.0,1455.0,1455.0,1455.0,0
2023-05-25,1455.0,1455.0,1455.0,1455.0,0
2023-05-26,1455.0,1455.0,1455.0,1455.0,0
2023-05-29,1455.0,1455.0,1455.0,1455.0,0
2023-05-30,1455.0,1455.0,1455.0,1455.0,0
2023-05-31,1455.0,1455.0,1455.0,1455.0,0
2023-06-05,1455.0,1455.0,1455.0,1455.0,0
2023-06-06,1455.0,1455.0,1455.0,1455.0,0
2023-06-07,1455.0,1455.0,1455.0,1455.0,0
2023-06-08,1455.0,1455.0,1455.0,1455.0,0
2023-06-09,1455.0,1455.0,1455.0,1455.0,0
2023-06-12,1455.0,1455.0,1455.0,1455.0,0
2023-06-13,1455.0,1455.0,1455.0,1455.0,0
2023-06-14,1455.0,1455.0,1455.0,1455.0,0
2023-06-15,1455.0,1455.0,1455.0,1455.0,0
2023-06-16,1455.0,1455.0,1455.0,1455.0,0
2023-06-19,1455.0,1455.0,1455.0,1455.0,0
2023-06-20,1455.0,1455.0,1455.0,1455.0,0
2023-06-21,1455.0,1455.0,1455.0,1455.0,0
2023-06-22,1455.0,1455.0,1455.0,1455.0,0
2023-06-23,1455.0,1455.0,1455.0,1455.0,0
2023-06-26,1455.0,1455.0,1455.0,1455.0,0
2023-06-27,1455.0,1455.0,1455.0,1455.0,0
2023-07-03,1455.0,1455.0,1455.0,1455.0,0
2023-07-04,1455.0,1455.0,1455.0,1455.0,0
2023-07-05,1455.0,1455.0,1455.0,1455.0,0
2023-07-06,1455.0,1455.0,1455.0,1455.0,0
2023-07-07,1455.0,1455.0,1455.0,1455.0,0
2023-07-10,1455.0,1455.0,1455.0,1455.0,0
2023-07-11,1455.0,1455.0,1455.0,1455.0,0
2023-07-12,1455.0,1455.0,1455.0,1455.0,0
2023-07-13,1455.0,1455.0,1455.0,1455.0,0
2023-07-14,1455.0,1455.0,1455.0,1455.0,0
2023-07-17,1455.0,1455.0,1455.0,1455.0,0
2023-07-18,1455.0,1455.0,1455.0,1455.0,0
2023-07-20,1455.0,1455.0,1455.0,1455.0,0
2023-07-21,1455.0,1455.0,1455.0,1455.0,0
2023-07-24,1455.0,1455.0,1455.0,1455.0,0
2023-07-25,1455.0,1455.0,1455.0,1455.0,0
2023-07-26,1455.0,1455.0,1455.0,1455.0,0
2023-07-27,1455.0,1455.0,1455.0,1455.0,0
2023-07-28,1455.0,1455.0,1455.0,1455.0,0
2023-07-31,1455.0,1455.0,1455.0,1455.0,0
2023-08-01,1455.0,1455.0,1455.0,1455.0,0
2023-08-02,1455.0,1455.0,1455.0,1455.0,0
2023-08-03,1455.0,1455.0,1455.0,1455.0,0
2023-08-04,1455.0,1455.0,1455.0,1455.0,0
2023-08-07,1455.0,1455.0,1455.0,1455.0,0
2023-08-08,1455.0,1455.0,1455.0,1455.0,0
2023-08-09,1455.0,1455.0,1455.0,1455.0,0
2023-08-10,1455.0,1455.0,1455.0,1455.0,0
2023-08-11,1455.0,1455.0,1455.0,1455.0,0
2023-08-14,1455.0,1455.0,1455.0,1455.0,0
2023-08-15,1455.0,1455.0,1455.0,1455.0,0
2023-08-16,1455.0,1455.0,1455.0,1455.0,0
2023-08-18,1455.0,1455.0,1455.0,1455.0,0
2023-08-21,1455.0,1455.0,1455.0,1455.0,0
2023-08-22,1455.0,1455.0,1455.0,1455.0,0
2023-08-23,1455.0,1455.0,1455.0,1455.0,0
2023-08-24,1455.0,1455.0,1455.0,1455.0,0
2023-08-25,1455.0,1455.0,1455.0,1455.0,0
2023-08-28,1455.0,1455.0,1455.0,1455.0,0
2023-08-29,1455.0,1455.0,1455.0,1455.0,0
2023-08-30,1455.0,1455.0,1455.0,1455.0,0
2023-08-31,1455.0,1455.0,1455.0,1455.0,0
2023-09-01,1455.0,1455.0,1455.0,1455.0,0
2023-09-04,1455.0,1455.0,1455.0,1455.0,0
2023-09-05,1455.0,1455.0,1455.0,1455.0,0
2023-09-06,1455.0,1455.0,1455.0,1455.0,0
2023-09-07,1455.0,1455.0,1455.0,1455.0,0
2023-09-08,1455.0,1455.0,1455.0,1455.0,0
2023-09-11,1455.0,1455.0,1455.0,1455.0,0
2023-09-12,1455.0,1455.0,1455.0,1455.0,0
2023-09-13,1455.0,1455.0,1455.0,1455.0,0
2023-09-14,1455.0,1455.0,1455.0,1455.0,0
2023-09-15,1455.0,1455.0,1455.0,1455.0,0
2023-09-18,1455.0,1455.0,1455.0,1455.0,0
2023-09-19,1455.0,1455.0,1455.0,1455.0,0
2023-09-20,1455.0,1455.0,1455.0,1455.0,0
2023-09-21,1455.0,1455.0,1455.0,1455.0,0
2023-09-22,1455.0,1455.0,1455.0,1455.0,0
2023-09-25,1455.0,1455.0,1455.0,1455.0,0
2023-09-26,1455.0,1455.0,1455.0,1455.0,0
2023-09-27,1455.0,1455.0,1455.0,1455.0,0
2023-09-29,1455.0,1455.0,1455.0,1455.0,0
2023-10-02,1455.0,1455.0,1455.0,1455.0,0
2023-10-03,1455.0,1455.0,1455.0,1455.0,0
2023-10-04,1455.0,1455.0,1455.0,1455.0,0
2023-10-05,1455.0,1455.0,1455.0,1455.0,0
2023-10-06,1455.0,1455.0,1455.0,1455.0,0
2023-10-09,1455.0,1455.0,1455.0,1455.0,0
2023-10-10,1455.0,1455.0,1455.0,1455.0,0
2023-10-11,1455.0,1455.0,1455.0,1455.0,0
2023-10-12,1455.0,1455.0,1455.0,1455.0,0
2023-10-13,1455.0,1455.0,1455.0,1455.0,0
2023-10-16,1455.0,1455.0,1455.0,1455.0,0
2023-10-17,1455.0,1455.0,1455.0,1455.0,0
2023-10-18,1455.0,1455.0,1455.0,1455.0,0
2023-10-19,1455.0,1455.0,1455.0,1455.0,0
2023-10-20,1455.0,1455.0,1455.0,1455.0,0
2023-10-23,1455.0,1455.0,1455.0,1455.0,0
2023-10-24,1455.0,1455.0,1455.0,1455.0,0
2023-10-25,1455.0,1455.0,1455.0,1455.0,0
2023-10-26,1455.0,1455.0,1455.0,1455.0,0
2023-10-27,1455.0,1455.0,1455.0,1455.0,0
2023-10-30,1455.0,1455.0,1455.0,1455.0,0
2023-10-31,1455.0,1455.0,1455.0,1455.0,0
2023-11-01,1455.0,1455.0,1455.0,1455.0,0
2023-11-02,1455.0,1455.0,1455.0,1455.0,0
2023-11-03,1455.0,1455.0,1455.0,1455.0,0
2023-11-06,1455.0,1455.0,1455.0,1455.0,0
2023-11-07,1455.0,1455.0,1455.0,1455.0,0
2023-11-08,1455.0,1455.0,1455.0,1455.0,0
2023-11-09,1455.0,1455.0,1455.0,1455.0,0
2023-11-10,1455.0,1455.0,1455.0,1455.0,0
2023-11-13,1455.0,1455.0,1455.0,1455.0,0
2023-11-14,1455.0,1455.0,1455.0,1455.0,0
2023-11-15,1455.0,1455.0,1455.0,1455.0,0
2023-11-16,1455.0,1455.0,1455.0,1455.0,0
2023-11-17,1455.0,1455.0,1455.0,1455.0,0
2023-11-20,1455.0,1455.0,1455.0,1455.0,0
2023-11-21,1455.0,1455.0,1455.0,1455.0,0
2023-11-22,1455.0,1455.0,1455.0,1455.0,0
2023-11-23,1455.0,1455.0,1455.0,1455.0,0
2023-11-24,1455.0,1455.0,1455.0,1455.0,0
2023-11-27,1455.0,1455.0,1455.0,1455.0,0
2023-11-28,1455.0,1455.0,1455.0,1455.0,0
2023-11-29,1455.0,1455.0,1455.0,1455.0,0
2023-11-30,1455.0,1455.0,1455.0,1455.0,0
2023-12-01,1455.0,1455.0,1455.0,1455.0,0
2023-12-04,1455.0,1455.0,1455.0,1455.0,0
2023-12-05,1455.0,1455.0,1455.0,1455.0,0
2023-12-06,1455.0,1455.0,1455.0,1455.0,0
2023-12-07,1455.0,1455.0,1455.0,1455.0,0
2023-12-08,1455.0,1455.0,1455.0,1455.0,0
2023-12-11,1455.0,1455.0,1455.0,1455.0,0
2023-12-12,1455.0,1455.0,1455.0,1455.0,0
2023-12-13,1455.0,1455.0,1455.0,1455.0,0
2023-12-14,1455.0,1455.0,1455.0,1455.0,0
2023-12-15,1455.0,1455.0,1455.0,1455.0,0
2023-12-18,1455.0,1455.0,1455.0,1455.0,0
2023-12-19,1455.0,1455.0,1455.0,1455.0,0
2023-12-20,1455.0,1455.0,1455.0,1455.0,0
2023-12-21,1455.0,1455.0,1455.0,1455.0,0
2023-12-22,1455.0,1455.0,1455.0,1455.0,0
2023-12-27,1455.0,1455.0,1455.0,1455.0,0
2023-12-28,1455.0,1455.0,1455.0,1455.0,0
2023-12-29,1455.0,1455.0,1455.0,1455.0,0
2024-01-02,1455.0,1455.0,1455.0,1455.0,0
2024-01-03,1455.0,1455.0,1455.0,1455.0,0
2024-01-04,1455.0,1455.0,1455.0,1455.0,0
2024-01-05,1455.0,1455.0,1455.0,1455.0,0
2024-01-08,1455.0,1455.0,1455.0,1455.0,0
2024-01-09,1455.0,1455.0,1455.0,1455.0,0
2024-01-10,1455.0,1455.0,1455.0,1455.0,0
2024-01-11,1455.0,1455.0,1455.0,1455.0,0
2024-01-12,1455.0,1455.0,1455.0,1455.0,0
2024-01-15,1455.0,1455.0,1455.0,1455.0,0
2024-01-16,1455.0,1455.0,1455.0,1455.0,0
2024-01-17,1455.0,1455.0,1455.0,1455.0,0
2024-01-18,1455.0,1455.0,1455.0,1455.0,0
2024-01-19,1455.0,1455.0,1455.0,1455.0,0
2024-01-22,1455.0,1455.0,1455.0,1455.0,0
2024-01-23,1455.0,1455.0,1455.0,1455.0,0
2024-01-24,1455.0,1455.0,1455.0,1455.0,0
2024-01-25,1455.0,1455.0,1455.0,1455.0,0
2024-01-26,1455.0,1455.0,1455.0,1455.0,0
2024-01-29,1455.0,1455.0,1455.0,1455.0,0
2024-01-30,1455.0,1455.0,1455.0,1455.0,0
2024-01-31,1455.0,1455.0,1455.0,1455.0,0
2024-02-01,1455.0,1455.0,1455.0,1455.0,0
2024-02-02,1455.0,1455.0,1455.0,1455.0,0
2024-02-05,1455.0,1455.0,1455.0,1455.0,0
2024-02-06,1455.0,1455.0,1455.0,1455.0,0
2024-02-07,1455.0,1455.0,1455.0,1455.0,0
2024-02-12,1455.0,1455.0,1455.0,1455.0,0
2024-02-13,1455.0,1455.0,1455.0,1455.0,0
2024-02-15,1455.0,1455.0,1455.0,1455.0,0
2024-02-16,1455.0,1455.0,1455.0,1455.0,0
2024-02-19,1455.0,1455.0,1455.0,1455.0,0
2024-02-20,1455.0,1455.0,1455.0,1455.0,0
2024-02-21,1455.0,1455.0,1455.0,1455.0,0
2024-02-22,1455.0,1455.0,1455.0,1455.0,0
2024-02-23,1455.0,1455.0,1455.0,1455.0,0
2024-02-26,1455.0,1455.0,1455.0,1455.0,0
2024-02-27,1455.0,1455.0,1455.0,1455.0,0
2024-02-28,1455.0,1455.0,1455.0,1455.0,0
2024-02-29,1455.0,1455.0,1455.0,1455.0,0
2024-03-01,1455.0,1455.0,1455.0,1455.0,0
2024-03-04,1455.0,1455.0,1455.0,1455.0,0
2024-03-05,1455.0,1455.0,1455.0,1455.0,0
2024-03-06,1455.0,1455.0,1455.0,1455.0,0
2024-03-07,1455.0,1455.0,1455.0,1455.0,0
2024-03-08,1455.0,1455.0,1455.0,1455.0,0
2024-03-13,1455.0,1455.0,1455.0,1455.0,0
2024-03-14,1455.0,1455.0,1455.0,1455.0,0
2024-03-15,1455.0,1455.0,1455.0,1455.0,0
2024-03-18,1455.0,1455.0,1455.0,1455.0,0
2024-03-19,1455.0,1455.0,1455.0,1455.0,0
2024-03-20,1455.0,1455.0,1455.0,1455.0,0
2024-03-21,1455.0,1455.0,1455.0,1455.0,0
2024-03-22,1455.0,1455.0,1455.0,1455.0,0
2024-03-25,1455.0,1455.0,1455.0,1455.0,0
2024-03-26,1455.0,1455.0,1455.0,1455.0,0
2024-03-27,1455.0,1455.0,1455.0,1455.0,0
2024-03-28,1455.0,1455.0,1455.0,1455.0,0
2024-04-01,1455.0,1455.0,1455.0,1455.0,0
2024-04-02,1455.0,1455.0,1455.0,1455.0,0
2024-04-03,1455.0,1455.0,1455.0,1455.0,0
2024-04-04,1455.0,1455.0,1455.0,1455.0,0
2024-04-05,1455.0,1455.0,1455.0,1455.0,0
2024-04-16,1455.0,1455.0,1455.0,1455.0,0
2024-04-17,1455.0,1455.0,1455.0,1455.0,0
2024-04-18,1455.0,1455.0,1455.0,1455.0,0
2024-04-19,1455.0,1455.0,1455.0,1455.0,0
2024-04-22,1455.0,1455.0,1455.0,1455.0,0
2024-04-23,1455.0,1455.0,1455.0,1455.0,0
2024-04-24,1455.0,1455.0,1455.0,1455.0,0
2024-04-25,1455.0,1455.0,1455.0,1455.0,0
2024-04-26,1455.0,1455.0,1455.0,1455.0,0
2024-04-29,1455.0,1455.0,1455.0,1455.0,0
2024-04-30,1455.0,1455.0,1455.0,1455.0,0
2024-05-02,1455.0,1455.0,1455.0,1455.0,0
2024-05-03,1455.0,1455.0,1455.0,1455.0,0
2024-05-06,1455.0,1455.0,1455.0,1455.0,0
2024-05-07,1455.0,1455.0,1455.0,1455.0,0
2024-05-08,1455.0,1455.0,1455.0,1455.0,0
2024-05-13,1455.0,1455.0,1455.0,1455.0,0
2024-05-14,1455.0,1455.0,1455.0,1455.0,0
2024-05-15,1455.0,1455.0,1455.0,1455.0,0
2024-05-16,1455.0,1455.0,1455.0,1455.0,0
2024-05-17,1455.0,1455.0,1455.0,1455.0,0
2024-05-20,1455.0,1455.0,1455.0,1455.0,0
2024-05-21,1455.0,1455.0,1455.0,1455.0,0
2024-05-22,1455.0,1455.0,1455.0,1455.0,0
2024-05-27,1455.0,1455.0,1455.0,1455.0,0
2024-05-28,1455.0,1455.0,1455.0,1455.0,0
2024-05-29,1455.0,1455.0,1455.0,1455.0,0
2024-05-30,1455.0,1455.0,1455.0,1455.0,0
2024-05-31,1455.0,1455.0,1455.0,1455.0,0
2024-06-03,1455.0,1455.0,1455.0,1455.0,0
2024-06-04,1455.0,1455.0,1455.0,1455.0,0
2024-06-05,1455.0,1455.0,1455.0,1455.0,0
2024-06-06,1455.0,1455.0,1455.0,1455.0,0
2024-06-07,1455.0,1455.0,1455.0,1455.0,0
2024-06-10,1455.0,1455.0,1455.0,1455.0,0
2024-06-11,1455.0,1455.0,1455.0,1455.0,0
2024-06-12,1455.0,1455.0,1455.0,1455.0,0
2024-06-13,1455.0,1455.0,1455.0,1455.0,0
2024-06-14,1455.0,1455.0,1455.0,1455.0,0
2024-06-19,1455.0,1455.0,1455.0,1455.0,0
2024-06-20,1455.0,1455.0,1455.0,1455.0,0
2024-06-21,1455.0,1455.0,1455.0,1455.0,0
2024-06-24,1455.0,1455.0,1455.0,1455.0,0
2024-06-25,1455.0,1455.0,1455.0,1455.0,0
2024-06-26,1455.0,1455.0,1455.0,1455.0,0
2024-06-27,1455.0,1455.0,1455.0,1455.0,0
2024-06-28,1455.0,1455.0,1455.0,1455.0,0
2024-07-01,1455.0,1455.0,1455.0,1455.0,0
2024-07-02,1455.0,1455.0,1455.0,1455.0,0
2024-07-03,1455.0,1455.0,1455.0,1455.0,0
2024-07-04,1455.0,1455.0,1455.0,1455.0,0
2024-07-05,1455.0,1455.0,1455.0,1455.0,0
2024-07-08,1455.0,1455.0,1455.0,1455.0,0
2024-07-09,1455.0,1455.0,1455.0,1455.0,0
2024-07-10,1455.0,1455.0,1455.0,1455.0,0
2024-07-11,1455.0,1455.0,1455.0,1455.0,0
2024-07-12,1455.0,1455.0,1455.0,1455.0,0
2024-07-15,1455.0,1455.0,1455.0,1455.0,0
2024-07-16,1455.0,1455.0,1455.0,1455.0,0
2024-07-17,1455.0,1455.0,1455.0,1455.0,0
2024-07-18,1455.0,1455.0,1455.0,1455.0,0
2024-07-19,1455.0,1455.0,1455.0,1455.0,0
2024-07-22,1455.0,1455.0,1455.0,1455.0,0
2024-07-23,1455.0,1455.0,1455.0,1455.0,0
2024-07-24,1455.0,1455.0,1455.0,1455.0,0
2024-07-25,1455.0,1455.0,1455.0,1455.0,0
2024-07-26,1455.0,1455.0,1455.0,1455.0,0
2024-07-29,1455.0,1455.0,1455.0,1455.0,0
2024-07-30,1455.0,1455.0,1455.0,1455.0,0
2024-07-31,1455.0,1455.0,1455.0,1455.0,0
2024-08-01,1455.0,1455.0,1455.0,1455.0,0
2024-08-02,1455.0,1455.0,1455.0,1455.0,0
2024-08-05,1455.0,1455.0,1455.0,1455.0,0
2024-08-06,1455.0,1455.0,1455.0,1455.0,0
2024-08-07,1455.0,1455.0,1455.0,1455.0,0
2024-08-08,1455.0,1455.0,1455.0,1455.0,0
2024-08-09,1455.0,1455.0,1455.0,1455.0,0
2024-08-12,1455.0,1455.0,1455.0,1455.0,0
2024-08-13,1455.0,1455.0,1455.0,1455.0,0
2024-08-14,1455.0,1455.0,1455.0,1455.0,0
2024-08-15,1455.0,1455.0,1455.0,1455.0,0
2024-08-16,1455.0,1455.0,1455.0,1455.0,0
2024-08-19,1455.0,1455.0,1455.0,1455.0,0
2024-08-20,1455.0,1455.0,1455.0,1455.0,0
2024-08-21,1455.0,1455.0,1455.0,1455.0,0
2024-08-22,1455.0,1455.0,1455.0,1455.0,0
2024-08-23,1455.0,1455.0,1455.0,1455.0,0
2024-08-26,1455.0,1455.0,1455.0,1455.0,0
2024-08-27,1455.0,1455.0,1455.0,1455.0,0
2024-08-28,1455.0,1455.0,1455.0,1455.0,0
2024-08-29,1455.0,1455.0,1455.0,1455.0,0
2024-08-30,1455.0,1455.0,1455.0,1455.0,0
2024-09-02,1455.0,1455.0,1455.0,1455.0,0
2024-09-03,1455.0,1455.0,1455.0,1455.0,0
2024-09-04,1455.0,1455.0,1455.0,1455.0,0
2024-09-05,1455.0,1455.0,1455.0,1455.0,0
2024-09-06,1455.0,1455.0,1455.0,1455.0,0
2024-09-09,1455.0,1455.0,1455.0,1455.0,0
2024-09-10,1455.0,1455.0,1455.0,1455.0,0
2024-09-11,1455.0,1455.0,1455.0,1455.0,0
2024-09-12,1455.0,1455.0,1455.0,1455.0,0
2024-09-13,1455.0,1455.0,1455.0,1455.0,0
2024-09-17,1455.0,1455.0,1455.0,1455.0,0
2024-09-18,1455.0,1455.0,1455.0,1455.0,0
2024-09-19,1455.0,1455.0,1455.0,1455.0,0
2024-09-20,1455.0,1455.0,1455.0,1455.0,0
2024-09-23,1455.0,1455.0,1455.0,1455.0,0
2024-09-24,1455.0,1455.0,1455.0,1455.0,0
2024-09-25,1455.0,1455.0,1455.0,1455.0,0
2024-09-26,1455.0,1455.0,1455.0,1455.0,0
2024-09-27,1455.0,1455.0,1455.0,1455.0,0
2024-09-30,1455.0,1455.0,1455.0,1455.0,0
2024-10-01,1455.0,1455.0,1455.0,1455.0,0
2024-10-02,1455.0,1455.0,1455.0,1455.0,0
2024-10-03,1455.0,1455.0,1455.0,1455.0,0
2024-10-04,1455.0,1455.0,1455.0,1455.0,0
2024-10-07,1455.0,1455.0,1455.0,1455.0,0
2024-10-08,1455.0,1455.0,1455.0,1455.0,0
2024-10-09,1455.0,1455.0,1455.0,1455.0,0
2024-10-10,1455.0,1455.0,1455.0,1455.0,0
2024-10-11,1455.0,1455.0,1455.0,1455.0,0
2024-10-14,1455.0,1455.0,1455.0,1455.0,0
2024-10-15,1455.0,1455.0,1455.0,1455.0,0
2024-10-16,1455.0,1455.0,1455.0,1455.0,0
2024-10-17,1455.0,1455.0,1455.0,1455.0,0
2024-10-18,1455.0,1455.0,1455.0,1455.0,0
2024-10-21,1455.0,1455.0,1455.0,1455.0,0
2024-10-22,1455.0,1455.0,1455.0,1455.0,0
2024-10-23,1455.0,1455.0,1455.0,1455.0,0
2024-10-24,1455.0,1455.0,1455.0,1455.0,0
2024-10-25,1455.0,1455.0,1455.0,1455.0,0
2024-10-28,1455.0,1455.0,1455.0,1455.0,0
2024-10-29,1455.0,1455.0,1455.0,1455.0,0
2024-10-30,1455.0,1455.0,1455.0,1455.0,0
2024-10-31,1455.0,1455.0,1455.0,1455.0,0
2024-11-01,1455.0,1455.0,1455.0,1455.0,0
2024-11-04,1455.0,1455.0,1455.0,1455.0,0
2024-11-05,1455.0,1455.0,1455.0,1455.0,0
2024-11-06,1455.0,1455.0,1455.0,1455.0,0
2024-11-07,1455.0,1455.0,1455.0,1455.0,0
2024-11-08,1455.0,1455.0,1455.0,1455.0,0
2024-11-11,1455.0,1455.0,1455.0,1455.0,0
2024-11-12,1455.0,1455.0,1455.0,1455.0,0
2024-11-13,1455.0,1455.0,1455.0,1455.0,0
2024-11-14,1455.0,1455.0,1455.0,1455.0,0
2024-11-15,1455.0,1455.0,1455.0,1455.0,0
2024-11-18,1455.0,1455.0,1455.0,1455.0,0
2024-11-19,1455.0,1455.0,1455.0,1455.0,0
2024-11-20,1455.0,1455.0,1455.0,1455.0,0
2024-11-21,1455.0,1455.0,1455.0,1455.0,0
2024-11-22,1455.0,1455.0,1455.0,1455.0,0
2024-11-25,1455.0,1455.0,1455.0,1455.0,0
2024-11-26,1455.0,1455.0,1455.0,1455.0,0
2024-11-28,1455.0,1455.0,1455.0,1455.0,0
2024-11-29,1455.0,1455.0,1455.0,1455.0,0
2024-12-02,1455.0,1455.0,1455.0,1455.0,0
2024-12-03,1455.0,1455.0,1455.0,1455.0,0
2024-12-04,1455.0,1455.0,1455.0,1455.0,0
2024-12-05,1455.0,1455.0,1455.0,1455.0,0
2024-12-06,1455.0,1455.0,1455.0,1455.0,0
2024-12-09,1455.0,1455.0,1455.0,1455.0,0
2024-12-10,1455.0,1455.0,1455.0,1455.0,0
2024-12-11,1455.0,1455.0,1455.0,1455.0,0
2024-12-12,1455.0,1455.0,1455.0,1455.0,0
2024-12-13,1455.0,1455.0,1455.0,1455.0,0
2024-12-16,1455.0,1455.0,1455.0,1455.0,0
